,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
274,anshun,26.25,105.9333,11.1,75,100,4.83,CN,1668803428
275,taoudenni,22.6783,-3.9836,24.55,13,91,1.64,ML,1668803428
276,codrington,-38.2667,141.9667,15.52,72,100,4.65,AU,1668803429
277,wanning,18.8003,110.3967,24.84,85,100,3.31,CN,1668803430
278,gawler,-34.6,138.7333,17.76,89,66,3.86,AU,1668803430
279,praia,14.9215,-23.5087,27.3,54,0,8.75,CV,1668803431
280,jacareacanga,-6.2222,-57.7528,27.07,73,100,1.01,BR,1668803432
281,kibaya,-5.3,36.5667,16.79,84,100,2.21,TZ,1668803432
282,natchez,31.5604,-91.4032,14.58,31,0,5.66,US,1668803433
283,vestmannaeyjar,63.4427,-20.2734,7.45,70,94,11.57,IS,1668803434
284,sao jose da coroa grande,-8.8978,-35.1478,25.58,77,12,5.15,BR,1668803435
285,abu dhabi,24.4667,54.3667,27.01,72,0,1.03,AE,1668803174
286,saint anthony,45.0205,-93.218,-6.53,69,20,7.72,US,1668803435
287,goroka,-6.0834,145.3873,17.32,96,98,0.97,PG,1668803436
288,aljezur,37.3191,-8.8033,14.67,70,67,6.71,PT,1668803187
289,leh,34.1667,77.5833,-6.87,55,98,0.15,IN,1668803437
290,skowhegan,44.7651,-69.7192,3.48,92,77,1.13,US,1668803437
291,snyder,32.7179,-100.9176,2.83,64,75,6.17,US,1668803438
292,high level,58.5169,-117.136,-6.94,68,20,1.54,CA,1668803406
293,albina,5.5,-54.05,26.81,75,60,2.52,SR,1668803439
294,lata,40.1629,-8.3327,10.04,86,45,1.64,PT,1668803439
295,kiunga,-6.1219,141.2906,23.7,91,86,0.42,PG,1668803440
296,srednekolymsk,67.45,153.6833,-22.94,97,100,4.91,RU,1668803440
297,san jose de rio tinto,14.9333,-85.7,32.76,89,92,2.34,HN,1668803441
298,une,4.4031,-74.0253,17.64,96,96,1.19,CO,1668803278
299,college,64.8569,-147.8028,-11.34,80,40,2.06,US,1668803441
300,buzmeyin,38.0507,58.2056,10.85,87,20,2.06,TM,1668803442
301,manaus,-3.1019,-60.025,28.28,78,75,2.06,BR,1668803442
302,broken hill,-31.95,141.4333,21.77,31,32,11.95,AU,1668803443
303,nyurba,63.2842,118.3319,-27.54,95,75,2.92,RU,1668803444
304,tessalit,20.1986,1.0114,22.66,13,62,4.47,ML,1668803444
305,bowen,-20.0167,148.2333,26.54,78,67,4.88,AU,1668803445
306,lorengau,-2.0226,147.2712,28.06,73,100,2.2,PG,1668803445
307,conakry,9.538,-13.6773,27.46,64,100,1.86,GN,1668803446
308,bardiyah,31.7561,25.0865,20.46,36,2,6.93,LY,1668803446
309,udachnyy,66.4167,112.4,-21.42,83,100,4.68,RU,1668803447
310,gat,31.61,34.7642,19.11,72,0,2.77,IL,1668803447
311,bud,39.447,-86.1758,0.93,61,100,6.08,US,1668803448
312,yarim,14.298,44.3779,10.33,36,5,2.05,YE,1668803449
313,voznesenye,61.0106,35.4781,-2.96,58,0,6.06,RU,1668803449
314,dire,12.2833,-10.9667,26.19,21,100,0.3,ML,1668803450
315,kouroussa,10.65,-9.8833,23.5,28,100,0.8,GN,1668803451
316,pisco,-13.7,-76.2167,21.03,68,0,5.14,PE,1668803451
317,camacha,33.0833,-16.3333,16.68,52,40,6.17,PT,1668803452
318,synya,65.3718,58.0387,-17.4,99,62,2.11,RU,1668803452
319,tutoia,-2.7619,-42.2744,27.31,74,62,4.42,BR,1668803247
320,velasco ibarra,-1.05,-79.6167,33.2,39,99,1.3,EC,1668803453
321,narsaq,60.9167,-46.05,-5.88,88,97,1.48,GL,1668803454
322,carbonia,39.1672,8.5222,15.36,76,56,1.32,IT,1668803410
323,preobrazheniye,42.9019,133.9064,2.03,66,74,2.61,RU,1668803454
324,madison,34.7334,-86.5667,11.92,43,40,1.34,US,1668803207
325,hokitika,-42.7167,170.9667,14.25,95,100,1.24,NZ,1668803455
326,coos bay,43.3665,-124.2179,13.97,70,0,4.63,US,1668803456
327,west bay,19.3667,-81.4167,29.04,85,40,6.17,KY,1668803456
328,salalah,17.0151,54.0924,27.05,69,40,2.06,OM,1668803457
329,koppang,61.5706,11.0555,-3.47,75,18,0.18,NO,1668803457
330,petropavlovsk-kamchatskiy,53.0452,158.6483,-14.67,72,0,5.0,RU,1668803458
331,chitradurga,14.2333,76.4,17.25,60,46,2.31,IN,1668803459
332,north battleford,52.7834,-108.2847,-6.95,73,100,7.72,CA,1668803459
333,luanda,-8.8368,13.2343,26.0,73,0,2.57,AO,1668803202
334,golyshmanovo,56.3979,68.3728,-15.03,91,35,3.97,RU,1668803460
335,ust-barguzin,53.45,108.9833,-7.17,82,80,1.22,RU,1668803460
336,mchinji,-13.7984,32.8802,22.4,49,49,1.76,MW,1668803461
337,lyubinskiy,55.1542,72.6925,-16.18,95,7,2.93,RU,1668803462
338,yurga,55.7231,84.8861,-15.31,97,47,2.29,RU,1668803462
339,beyneu,45.3167,55.2,4.89,82,54,2.93,KZ,1668803463
340,millinocket,45.6573,-68.7098,-0.88,64,100,3.15,US,1668803376
341,sao filipe,14.8961,-24.4956,27.01,57,100,5.01,CV,1668803464
342,krasnoselkup,65.7,82.4667,-12.65,93,100,6.33,RU,1668803464
343,korla,41.7597,86.1469,0.66,39,23,1.78,CN,1668803465
344,louros,39.1628,20.7519,19.99,84,49,1.81,GR,1668803465
345,prince rupert,54.3161,-130.3201,5.83,52,0,3.09,CA,1668803466
346,paamiut,61.994,-49.6678,-5.88,84,100,2.5,GL,1668803466
347,zhangye,38.9342,100.4517,-0.56,34,8,0.78,CN,1668803467
348,andros town,24.7,-77.7667,25.98,77,86,8.51,BS,1668803467
349,nouakchott,18.0858,-15.9785,26.96,50,0,5.22,MR,1668803468
350,malindi,-3.2175,40.1191,25.63,84,82,2.91,KE,1668803468
351,vostok,46.4856,135.8833,-6.7,96,100,1.16,RU,1668803469
352,fairbanks,64.8378,-147.7164,-7.82,79,0,2.06,US,1668803469
353,winton,37.3894,-120.6133,17.06,44,0,3.09,US,1668803470
354,partenit,44.578,34.3446,12.23,96,99,0.92,UA,1668803470
355,pangody,65.85,74.4859,-19.65,92,100,8.37,RU,1668803471
356,wadi maliz,36.4681,8.5495,16.81,87,0,0.75,TN,1668803471
357,port blair,11.6667,92.75,26.47,83,87,4.13,IN,1668803257
358,ranot,7.7777,100.3213,25.9,83,99,1.7,TH,1668803472
359,chyhyryn,49.0838,32.6555,1.7,88,100,6.56,UA,1668803473
360,peterhead,57.5058,-1.7981,10.22,83,100,17.11,GB,1668803474
361,bantry,51.6833,-9.45,5.99,85,12,2.64,IE,1668803474
362,kuching,1.55,110.3333,23.12,100,40,0.51,MY,1668803475
363,gimbi,9.1667,35.8333,12.85,80,5,0.56,ET,1668803476
364,somerset,40.5668,-74.5496,7.28,44,20,2.68,US,1668803276
365,okhotsk,59.3833,143.3,-18.67,76,13,4.52,RU,1668803476
366,yulara,-25.2406,130.9889,22.37,25,0,6.44,AU,1668803477
367,sakakah,29.9697,40.2064,14.76,57,70,3.98,SA,1668803420
368,kurush,41.2841,47.8345,-1.35,63,8,0.77,RU,1668803478
369,mmabatho,-25.85,25.6333,20.98,68,66,1.54,ZA,1668803478
370,bathsheba,13.2167,-59.5167,29.34,70,75,8.75,BB,1668803479
371,benghazi,32.1167,20.0667,21.25,70,0,3.03,LY,1668803479
372,shelopugino,51.6514,117.5599,-6.62,96,100,1.4,RU,1668803480
373,rawicz,51.6095,16.8585,-0.48,82,8,2.84,PL,1668803480
374,poum,-20.2333,164.0167,25.16,74,86,7.64,NC,1668803481
375,velten,52.6833,13.1833,0.25,78,1,2.28,DE,1668803482
376,kodinsk,58.6881,99.1844,-21.05,99,85,1.51,RU,1668803482
377,grand-santi,4.25,-54.3833,34.47,37,73,0.71,GF,1668803325
378,saint-joseph,-21.3667,55.6167,21.21,67,3,2.24,RE,1668803483
379,ahipara,-35.1667,173.1667,18.22,84,28,6.11,NZ,1668803483
380,swellendam,-34.0226,20.4417,15.52,72,97,1.69,ZA,1668803484
381,trinidad,-14.8333,-64.9,35.99,49,40,2.57,BO,1668803484
382,nanyamba,-10.6833,39.8333,20.4,97,8,0.92,TZ,1668803485
383,road town,18.4167,-64.6167,29.05,78,40,4.12,VG,1668803349
384,pangoa,-12.1167,-73.0,30.72,50,100,0.82,PE,1668803486
385,nemuro,43.3236,145.575,4.98,65,98,4.97,JP,1668803486
386,leningradskiy,69.3833,178.4167,-20.96,97,100,1.16,RU,1668803487
387,akureyri,65.6835,-18.0878,3.96,87,75,0.0,IS,1668803477
388,san cristobal,7.7669,-72.225,24.1,77,58,1.77,VE,1668803488
389,tanete,-3.9443,119.7848,23.32,95,100,1.78,ID,1668803488
390,burnie,-41.0667,145.9167,12.19,88,91,5.32,AU,1668803489
391,saint-pierre,-21.3393,55.4781,21.82,60,0,2.06,RE,1668803489
392,pacifica,37.6138,-122.4869,19.8,73,0,5.66,US,1668803435
393,dale,38.1689,-86.99,2.88,37,20,7.2,US,1668803490
394,asau,46.4333,26.4,4.6,95,100,0.95,RO,1668803490
395,dombarovskiy,50.7587,59.5386,-5.31,85,91,3.49,RU,1668803491
396,alihe,50.5667,123.7167,-4.32,82,100,2.81,CN,1668803492
397,bellegarde-sur-valserine,46.1079,5.8242,8.28,91,70,1.45,FR,1668803492
398,havoysund,70.9963,24.6622,2.13,52,98,3.81,NO,1668803493
399,jiangyou,31.7667,104.7167,12.99,79,97,0.52,CN,1668803494
400,antsohihy,-14.8796,47.9875,24.34,85,42,1.28,MG,1668803494
401,casillas,14.4222,-90.2442,26.68,71,36,0.83,GT,1668803495
402,santa maria,-29.6842,-53.8069,31.61,27,0,5.14,BR,1668803491
403,lufilufi,-13.8745,-171.5986,29.88,71,8,1.25,WS,1668803496
404,geraldton,-28.7667,114.6,12.23,82,75,3.09,AU,1668803474
405,sompeta,18.9333,84.6,21.21,55,94,4.08,IN,1668803496
406,touros,-5.1989,-35.4608,25.89,72,12,4.96,BR,1668803497
407,guerrero negro,27.9769,-114.0611,21.12,36,20,4.98,MX,1668803497
408,kapuskasing,49.4169,-82.4331,-5.95,68,100,4.63,CA,1668803215
409,faya,18.3851,42.4509,15.06,75,17,0.82,SA,1668803498
410,manoel urbano,-8.8389,-69.2597,32.45,48,95,0.75,BR,1668803499
411,cegled,47.1727,19.7995,6.05,99,100,2.22,HU,1668803499
412,tabuk,17.4189,121.4443,22.52,88,98,0.6,PH,1668803500
413,sacama,-3.9,-79.2667,22.01,33,40,10.8,EC,1668803500
414,palizada,18.25,-92.0833,26.75,80,16,0.32,MX,1668803501
415,abu zabad,12.35,29.25,21.44,19,30,5.34,SD,1668803501
416,christchurch,-43.5333,172.6333,14.95,96,100,9.26,NZ,1668803281
417,cabo san lucas,22.8909,-109.9124,28.67,57,20,5.14,MX,1668803502
418,turukhansk,65.8167,87.9833,-12.64,94,100,9.13,RU,1668803502
419,yumen,40.2833,97.2,0.44,27,96,2.82,CN,1668803503
420,san juan,-31.5375,-68.5364,35.11,21,0,7.42,AR,1668803504
421,mount isa,-20.7333,139.5,20.87,73,0,0.0,AU,1668803504
422,miandrivazo,-19.5167,45.4667,25.22,80,31,1.85,MG,1668803505
423,lastoursville,-0.8143,12.7287,22.08,97,90,0.57,GA,1668803505
424,luganville,-15.5333,167.1667,28.12,74,3,0.88,VU,1668803506
425,barrhead,55.7992,-4.3929,8.79,86,100,3.6,GB,1668803506
426,zhigansk,66.7697,123.3711,-28.87,95,100,7.33,RU,1668803507
427,astana,51.1801,71.446,-13.03,85,100,2.0,KZ,1668803507
428,port hedland,-20.3167,118.5667,20.03,94,100,2.57,AU,1668803508
429,fairmont,39.4851,-80.1426,1.51,86,96,1.34,US,1668803508
430,vallenar,-28.5708,-70.7581,27.95,34,0,4.05,CL,1668803439
431,wismar,53.9,11.4667,-0.42,88,21,0.45,DE,1668803509
432,gimli,50.6336,-96.9907,-6.99,73,100,6.17,CA,1668803382
433,ust-maya,60.4167,134.5333,-22.36,100,98,1.11,RU,1668803510
434,olafsvik,64.8945,-23.7142,5.92,74,33,10.55,IS,1668803510
435,galle,6.0367,80.217,23.07,85,70,4.35,LK,1668803511
436,san patricio,28.017,-97.5169,15.05,65,100,6.25,US,1668803511
437,sterling,39.0062,-77.4286,8.48,44,75,5.36,US,1668803458
438,anadyr,64.75,177.4833,-20.56,83,0,4.0,RU,1668803512
439,dingle,10.9995,122.6711,23.65,96,100,2.22,PH,1668803513
440,bethanien,-26.502,17.1583,23.72,15,92,7.45,NA,1668803513
441,yatou,37.15,122.3833,10.43,69,95,2.12,CN,1668803513
442,apomu,7.3333,4.1833,23.44,88,54,1.29,NG,1668803514
443,dzhida,50.6772,106.1806,-12.9,88,50,2.1,RU,1668803515
444,sivas,39.7916,37.0019,8.35,81,75,4.63,TR,1668803515
445,susanville,40.4163,-120.653,3.7,55,0,5.14,US,1668803516
446,kargopol,61.5071,38.9456,-9.0,93,31,2.42,RU,1668803516
447,mitsamiouli,-11.3847,43.2844,25.67,80,7,5.47,KM,1668803380
448,vanavara,60.34,102.2797,-17.08,89,100,3.68,RU,1668803517
449,progreso,21.2833,-89.6667,29.06,70,96,7.41,MX,1668803517
450,viransehir,37.2353,39.7631,12.33,74,77,1.83,TR,1668803518
451,rudsar,37.1376,50.288,12.99,52,5,2.23,IR,1668803518
452,santa rosa,14.3122,121.1114,25.99,92,98,5.12,PH,1668803400
453,tazovskiy,67.4667,78.7,-18.62,93,100,7.97,RU,1668803519
454,bonavista,48.6499,-53.1147,3.3,71,97,8.97,CA,1668803520
455,bilma,18.6853,12.9164,21.45,19,18,2.37,NE,1668803520
456,bone,51.9669,12.1396,-0.62,83,13,2.4,DE,1668803521
457,ugoofaaru,5.6667,73.0,26.87,77,100,2.08,MV,1668803521
458,oranjestad,12.524,-70.027,28.28,84,100,1.79,AW,1668803522
459,calvinia,-31.4707,19.776,10.74,74,100,4.35,ZA,1668803522
460,pacific grove,36.6177,-121.9166,17.53,66,0,4.02,US,1668803523
461,aviles,43.5547,-5.9248,10.43,84,40,4.12,ES,1668803523
462,lagos,6.5833,3.75,25.65,81,9,1.76,NG,1668803384
463,inhambane,-23.865,35.3833,24.13,77,56,5.06,MZ,1668803524
464,salta,-24.7859,-65.4117,33.65,27,4,7.2,AR,1668803524
465,matara,5.9485,80.5353,22.59,86,40,1.91,LK,1668803525
466,pouebo,-20.4,164.5667,25.56,69,94,1.71,NC,1668803526
467,vieste,41.8825,16.175,17.21,73,100,1.49,IT,1668803526
468,berlevag,70.8578,29.0864,-0.11,69,93,8.75,NO,1668803526
469,khor,47.8861,134.9464,-5.36,95,10,1.99,RU,1668803527
470,podgorica,42.4411,19.2636,15.84,100,75,1.03,ME,1668803528
471,port hardy,50.6996,-127.4199,5.1,65,20,0.0,CA,1668803528
472,acapulco,16.8634,-99.8901,30.9,58,40,3.6,MX,1668803529
473,naze,28.3667,129.4833,20.51,89,79,2.81,JP,1668803529
474,caconda,-13.7333,15.0667,17.71,85,56,0.98,AO,1668803529
475,dese,11.1333,39.6333,9.63,59,6,1.14,ET,1668803530
476,wanaka,-44.7,169.15,13.35,94,100,1.89,NZ,1668803273
477,teguldet,57.3064,88.1667,-16.18,100,92,1.73,RU,1668803531
478,nata,8.3333,-80.5167,26.93,81,85,2.67,PA,1668803532
479,olinda,-8.0089,-34.8553,27.85,65,20,3.6,BR,1668803532
480,zhangjiakou,40.81,114.8794,2.66,85,31,0.27,CN,1668803533
481,rawa mazowiecka,51.7644,20.2549,-1.92,89,66,3.34,PL,1668803533
482,yanam,16.7333,82.2167,22.06,71,86,2.51,IN,1668803534
483,noumea,-22.2763,166.4572,21.99,75,100,2.22,NC,1668803534
484,jacmel,18.2342,-72.5347,30.91,70,61,2.12,HT,1668803535
485,churapcha,62.0025,132.4325,-19.86,98,100,0.96,RU,1668803535
486,kutiyana,21.6233,69.9817,21.23,58,0,1.45,IN,1668803536
487,kruisfontein,-34.0033,24.7314,17.16,82,95,3.59,ZA,1668803536
488,puerto gaitan,4.3133,-72.0816,25.15,83,99,1.22,CO,1668803537
489,honiara,-9.4333,159.95,26.93,80,71,1.56,SB,1668803537
490,tomari,47.7658,142.0683,-0.31,84,98,0.88,RU,1668803538
491,yar-sale,66.8333,70.8333,-21.19,86,68,8.47,RU,1668803538
492,kununurra,-15.7667,128.7333,26.99,78,99,2.57,AU,1668803539
493,saint george,37.1041,-113.5841,11.91,33,0,2.57,US,1668803440
494,harsany,47.9667,20.75,1.29,84,100,5.82,HU,1668803540
495,lazaro cardenas,17.9583,-102.2,28.85,65,9,3.36,MX,1668803541
496,kaihua,23.3687,104.28,16.68,96,95,1.66,CN,1668803541
497,bereda,43.2686,-7.5406,6.9,100,98,1.73,ES,1668803542
498,bar harbor,44.3876,-68.2039,3.9,60,0,3.58,US,1668803542
499,makakilo city,21.3469,-158.0858,28.18,62,20,6.17,US,1668803542
500,palmares do sul,-30.2578,-50.5097,23.23,58,5,7.1,BR,1668803250
501,conselheiro pena,-19.1722,-41.4722,24.78,63,64,2.76,BR,1668803543
502,alcudia,39.8532,3.1214,15.14,86,100,4.82,ES,1668803544
503,alice,27.7523,-98.0697,16.09,56,100,6.17,US,1668803544
504,two rivers,44.1539,-87.5693,-2.73,64,75,8.23,US,1668803545
505,the pas,53.8251,-101.2541,-7.99,73,100,10.29,CA,1668803545
506,taiobeiras,-15.8078,-42.2331,20.18,83,84,2.41,BR,1668803546
507,buraydah,26.326,43.975,17.25,75,100,5.99,SA,1668803546
508,axim,4.8699,-2.2405,25.77,82,4,3.35,GH,1668803547
509,karla,59.3723,24.9275,1.98,69,100,6.69,EE,1668803548
510,svetlogorsk,52.6333,29.7333,-3.69,82,100,3.67,BY,1668803548
511,puerto penasco,31.3167,-113.5333,18.84,40,0,2.68,MX,1668803549
512,henties bay,-22.116,14.2845,16.16,82,91,3.4,NA,1668803549
513,cidreira,-30.1811,-50.2056,21.11,75,4,7.34,BR,1668803550
514,opunake,-39.4556,173.8583,16.03,81,17,7.26,NZ,1668803551
515,lubon,52.3471,16.8927,-0.24,79,75,3.6,PL,1668803551
516,okmulgee,35.6234,-95.9605,0.65,32,100,3.09,US,1668803551
517,soria,41.6667,-2.6667,3.25,100,32,3.22,ES,1668803552
518,jaynagar,26.5833,86.15,16.2,52,0,3.05,IN,1668803552
519,boa vista,2.8197,-60.6733,33.99,46,20,3.09,BR,1668803553
520,mondlo,-27.983,30.7177,20.51,56,21,2.9,ZA,1668803553
521,buala,-8.145,159.5921,28.14,76,65,3.45,SB,1668803554
522,warangal,18.0,79.5833,16.64,68,95,2.91,IN,1668803554
523,salisbury,51.0693,-1.7957,6.76,89,29,2.57,GB,1668803431
524,linjiang,41.8069,126.9078,-1.07,87,100,0.81,CN,1668803555
525,price,39.5994,-110.8107,5.06,28,0,5.14,US,1668803555
526,jian,27.1172,114.9793,15.56,94,100,1.98,CN,1668803556
527,bucerias,20.75,-105.3333,27.21,78,40,4.63,MX,1668803556
528,thyboron,56.6985,8.2124,3.41,70,8,9.64,DK,1668803557
529,rawson,-43.3002,-65.1023,20.76,46,10,5.13,AR,1668803455
530,obo,5.3998,26.4869,21.92,59,71,1.26,CF,1668803558
531,ballina,-28.8667,153.5667,15.56,99,46,1.99,AU,1668803558
532,kyren,51.6828,102.1408,-13.7,93,88,0.57,RU,1668803559
533,tilichiki,60.4667,166.1,-16.55,89,34,2.61,RU,1668803559
534,tarakan,3.3,117.6333,25.72,94,75,2.57,ID,1668803560
535,coruripe,-10.1256,-36.1756,25.45,79,64,6.0,BR,1668803560
536,flin flon,54.7682,-101.865,-9.09,62,75,9.26,CA,1668803561
537,namatanai,-3.6667,152.4333,27.4,70,100,1.73,PG,1668803561
538,luocheng,29.3848,104.0286,13.7,80,42,0.47,CN,1668803562
539,oistins,13.0667,-59.5333,29.05,70,75,8.75,BB,1668803562
540,teteven,42.9167,24.2667,13.38,70,88,1.25,BG,1668803563
541,kinsale,51.7075,-8.5306,4.65,93,20,4.12,IE,1668803563
542,kismayo,-0.3582,42.5454,26.21,83,93,3.72,SO,1668803564
543,bang khla,13.7214,101.2081,27.96,92,100,1.4,TH,1668803564
544,poya,-21.35,165.15,23.06,79,100,3.06,NC,1668803565
545,daru,-9.0763,143.2092,26.99,86,98,2.34,PG,1668803565
546,tamandare,-8.7597,-35.1047,25.58,77,13,4.7,BR,1668803566
547,bo phloi,14.3236,99.5161,23.18,94,100,2.14,TH,1668803566
548,sarany,58.5,58.8833,-15.35,91,14,1.78,RU,1668803391
549,constitucion,-35.3333,-72.4167,18.39,71,15,9.2,CL,1668803567
550,bayangol,50.6977,103.4656,-20.93,97,26,1.37,RU,1668803567
